datetime,pm2.5,co,no,no2,pm10,nox,o3,veloc.,direc.,so2
2019-01-01 00:00:00,19.0,0.2,3.0,36.0,22.0,40.0,16.0,0.5,262.0,8.0
2019-01-01 01:00:00,26.0,0.1,2.0,40.0,32.0,44.0,6.0,0.6,248.0,8.0
2019-01-01 02:00:00,31.0,0.1,11.0,42.0,36.0,58.0,3.0,0.3,224.0,8.0
2019-01-01 03:00:00,30.0,0.1,15.0,41.0,35.0,63.0,3.0,0.2,220.0,10.0
2019-01-01 04:00:00,30.0,0.1,16.0,39.0,36.0,63.0,3.0,0.4,221.0,11.0
2019-01-01 05:00:00,24.0,0.1,12.0,40.0,27.0,57.0,3.0,0.6,232.0,10.0
2019-01-01 06:00:00,14.0,0.1,2.0,35.0,17.0,37.0,8.0,0.3,243.0,10.0
2019-01-01 07:00:00,11.0,0.1,2.0,36.0,13.0,40.0,12.0,0.3,244.0,11.0
2019-01-01 08:00:00,9.0,0.1,1.0,35.0,10.0,36.0,13.0,0.3,242.0,6.0
2019-01-01 09:00:00,7.0,0.1,1.0,33.0,9.0,33.0,19.0,0.3,252.0,3.0
2019-01-01 10:00:00,5.0,0.1,1.0,28.0,6.0,29.0,27.0,0.7,255.0,3.0
2019-01-01 11:00:00,5.0,0.1,1.0,28.0,8.0,30.0,31.0,0.3,309.0,3.0
2019-01-01 12:00:00,8.0,0.1,1.0,28.0,12.0,29.0,37.0,0.2,54.0,3.0
2019-01-01 13:00:00,11.0,0.1,1.0,20.0,17.0,21.0,51.0,0.6,73.0,3.0
2019-01-01 14:00:00,13.0,0.1,1.0,18.0,22.0,19.0,52.0,1.0,97.0,3.0
2019-01-01 15:00:00,10.0,0.1,1.0,17.0,14.0,18.0,56.0,1.1,81.0,5.0
2019-01-01 16:00:00,9.0,0.1,1.0,14.0,11.0,15.0,58.0,0.8,74.0,3.0
2019-01-01 17:00:00,12.0,0.2,1.0,22.0,14.0,23.0,43.0,0.2,30.0,3.0
2019-01-01 18:00:00,14.0,0.2,1.0,42.0,17.0,42.0,23.0,0.2,12.0,3.0
2019-01-01 19:00:00,14.0,0.1,6.0,62.0,18.0,71.0,9.0,0.3,327.0,3.0
2019-01-01 20:00:00,16.0,0.1,28.0,64.0,20.0,107.0,4.0,0.2,317.0,3.0
2019-01-01 21:00:00,27.0,0.3,108.0,61.0,38.0,227.0,3.0,0.2,309.0,8.0
2019-01-01 22:00:00,36.0,0.4,149.0,63.0,45.0,291.0,4.0,0.2,315.0,8.0
2019-01-01 23:00:00,32.0,0.3,52.0,50.0,36.0,130.0,3.0,0.2,337.0,8.0
2019-01-02 00:00:00,26.0,0.2,31.0,44.0,30.0,91.0,3.0,0.2,288.0,8.0
2019-01-02 01:00:00,23.0,0.2,17.0,37.0,26.0,62.0,4.0,0.2,355.0,8.0
2019-01-02 02:00:00,16.0,0.3,1.0,32.0,18.0,33.0,12.0,0.2,261.0,8.0
2019-01-02 03:00:00,16.0,0.1,2.0,26.0,17.0,28.0,8.0,0.2,266.0,8.0
2019-01-02 04:00:00,20.0,0.1,1.0,23.0,22.0,24.0,5.0,0.3,243.0,8.0
2019-01-02 05:00:00,12.0,0.1,1.0,26.0,14.0,28.0,9.0,0.4,226.0,9.0
2019-01-02 06:00:00,10.0,0.1,2.0,29.0,13.0,31.0,6.0,0.3,230.0,8.0
2019-01-02 07:00:00,10.0,0.1,11.0,40.0,11.0,57.0,3.0,0.4,232.0,10.0
2019-01-02 08:00:00,14.0,0.1,43.0,51.0,30.0,117.0,3.0,0.5,235.0,8.0
2019-01-02 09:00:00,14.0,0.1,78.0,60.0,34.0,179.0,3.0,0.8,248.0,8.0
2019-01-02 10:00:00,23.0,0.1,70.0,64.0,49.0,172.0,5.0,0.9,259.0,8.0
2019-01-02 11:00:00,18.0,0.1,58.0,64.0,40.0,152.0,8.0,0.7,254.0,7.0
2019-01-02 12:00:00,17.0,0.1,22.0,56.0,38.0,91.0,18.0,0.4,272.0,4.0
2019-01-02 13:00:00,19.0,0.1,12.0,49.0,37.0,67.0,26.0,0.4,216.0,3.0
2019-01-02 14:00:00,22.0,0.1,15.0,51.0,38.0,74.0,24.0,0.7,144.0,3.0
2019-01-02 15:00:00,12.0,0.1,15.0,54.0,25.0,76.0,29.0,1.1,107.0,3.0
2019-01-02 16:00:00,9.0,0.1,2.0,40.0,14.0,43.0,39.0,2.3,85.0,3.0
2019-01-02 17:00:00,10.0,0.1,1.0,36.0,13.0,38.0,35.0,1.3,75.0,3.0
2019-01-02 18:00:00,11.0,0.1,6.0,56.0,15.0,65.0,16.0,0.5,80.0,3.0
2019-01-02 19:00:00,14.0,0.3,16.0,65.0,20.0,89.0,12.0,0.2,34.0,3.0
2019-01-02 20:00:00,22.0,0.3,40.0,77.0,28.0,138.0,3.0,0.6,340.0,3.0
2019-01-02 21:00:00,22.0,0.3,26.0,71.0,29.0,112.0,3.0,0.4,343.0,6.0
2019-01-02 22:00:00,30.0,0.6,71.0,71.0,39.0,180.0,4.0,0.4,337.0,7.0
2019-01-02 23:00:00,27.0,0.3,22.0,62.0,34.0,94.0,3.0,0.5,279.0,6.0
2019-01-03 00:00:00,21.0,0.2,3.0,47.0,27.0,51.0,11.0,0.5,320.0,6.0
2019-01-03 01:00:00,19.0,0.1,1.0,39.0,25.0,39.0,9.0,0.9,241.0,7.0
2019-01-03 02:00:00,26.0,0.1,1.0,40.0,29.0,41.0,6.0,1.6,239.0,8.0
2019-01-03 03:00:00,25.0,0.2,1.0,38.0,28.0,39.0,10.0,0.2,269.0,8.0
2019-01-03 04:00:00,21.0,0.3,1.0,36.0,24.0,37.0,9.0,0.3,355.0,8.0
2019-01-03 05:00:00,15.0,0.2,1.0,35.0,19.0,35.0,7.0,0.4,3.0,9.0
2019-01-03 06:00:00,9.0,0.2,1.0,30.0,12.0,31.0,13.0,0.5,341.0,9.0
2019-01-03 07:00:00,9.0,0.2,11.0,44.0,16.0,61.0,3.0,0.3,321.0,10.0
