date,turnover
1982-04-01,85.1
1982-05-01,85.1
1982-06-01,82.8
1982-07-01,82.1
1982-08-01,81.8
1982-09-01,84.6
1982-10-01,91.7
1982-11-01,97.7
1982-12-01,109.3
1983-01-01,94.6
1983-02-01,88.2
1983-03-01,92.0
1983-04-01,85.2
1983-05-01,86.8
1983-06-01,81.3
1983-07-01,85.6
1983-08-01,90.5
1983-09-01,90.8
1983-10-01,92.7
1983-11-01,95.8
1983-12-01,111.7
1984-01-01,92.7
1984-02-01,94.4
1984-03-01,97.8
1984-04-01,92.9
1984-05-01,101.0
1984-06-01,92.1
1984-07-01,92.5
1984-08-01,94.4
1984-09-01,90.4
1984-10-01,95.7
1984-11-01,100.6
1984-12-01,112.4
1985-01-01,96.3
1985-02-01,93.9
1985-03-01,98.0
1985-04-01,98.4
1985-05-01,101.8
1985-06-01,90.8
1985-07-01,98.3
1985-08-01,107.0
1985-09-01,103.2
1985-10-01,111.8
1985-11-01,112.3
1985-12-01,126.8
1986-01-01,113.8
1986-02-01,104.4
1986-03-01,109.7
1986-04-01,110.2
1986-05-01,118.0
1986-06-01,108.2
1986-07-01,123.5
1986-08-01,131.7
1986-09-01,132.9
1986-10-01,142.8
1986-11-01,138.3
1986-12-01,159.5
1987-01-01,138.9
1987-02-01,130.9
1987-03-01,136.3
1987-04-01,142.7
1987-05-01,144.2
1987-06-01,137.9
1987-07-01,149.0
1987-08-01,146.4
1987-09-01,146.4
1987-10-01,157.3
1987-11-01,155.3
1987-12-01,186.5
1988-01-01,143.3
1988-02-01,146.7
1988-03-01,159.6
1988-04-01,158.7
1988-05-01,151.7
1988-06-01,155.7
1988-07-01,154.0
1988-08-01,159.9
1988-09-01,165.3
1988-10-01,167.8
1988-11-01,176.4
1988-12-01,186.2
1989-01-01,167.2
1989-02-01,167.9
1989-03-01,180.6
1989-04-01,179.4
1989-05-01,182.9
1989-06-01,177.5
1989-07-01,183.3
1989-08-01,177.4
1989-09-01,188.3
1989-10-01,203.0
1989-11-01,203.6
1989-12-01,236.8
1990-01-01,198.3
1990-02-01,183.5
1990-03-01,204.6
1990-04-01,183.9
1990-05-01,183.5
