date,metro,bus,road,train,total
2023-01-01,685684,319488,155714,174991,1335877
2023-01-02,1581661,1024836,588003,446467,3640967
2023-01-03,1781186,1151845,662751,510268,4106050
2023-01-04,1846531,1160892,681347,517539,4206309
2023-01-05,1842966,1087828,615698,487856,4034348
2023-01-06,894382,459749,236253,229730,1820114
2023-01-07,1257660,714550,377933,309329,2659472
2023-01-08,977910,491083,254102,235473,1958568
2023-01-09,1941128,1468624,856672,561589,4828013
2023-01-10,2018250,1531306,884948,583787,5018291
2023-01-11,2062881,1422008,880756,591617,4957262
2023-01-12,2080654,1435879,890470,592716,4999719
2023-01-13,2162687,1439282,912863,600287,5115119
2023-01-14,1428270,802425,433733,358164,3022592
2023-01-15,1021255,539787,274959,267823,2103824
2023-01-16,1992037,1357710,856534,569861,4776142
2023-01-17,2064856,1391475,865470,573776,4895577
2023-01-18,2120175,1399464,873932,587887,4981458
2023-01-19,2155218,1407320,880344,585239,5028121
2023-01-20,2226792,1433422,910895,607817,5178926
2023-01-21,1616122,810600,448679,392648,3268049
2023-01-22,1115808,548425,293035,280916,2238184
2023-01-23,2042669,1389039,879160,579187,4890055
2023-01-24,2123716,1407708,889417,594909,5015750
2023-01-25,2152328,1443805,908456,607345,5111934
2023-01-26,2214718,1444279,916545,607123,5182665
2023-01-27,2180472,1388149,895680,585591,5049892
2023-01-28,1477965,774980,437205,362441,3052591
2023-01-29,1124644,546525,290671,283495,2245335
2023-01-30,2069172,1399150,899509,602912,4970743
2023-01-31,2154530,1453028,928286,623562,5159406
2023-02-01,2227992,1486916,946360,644511,5305779
2023-02-02,2252162,1496917,950210,641053,5340342
2023-02-03,2288146,1476746,960282,632294,5357468
2023-02-04,1542933,828362,466098,375013,3212406
2023-02-05,1143835,583510,316581,292951,2336877
2023-02-06,2124266,1446101,928649,603724,5102740
2023-02-07,2210349,1475971,949333,615081,5250734
2023-02-08,2241168,1494264,957604,614916,5307952
2023-02-09,2247684,1512276,967393,613711,5341064
2023-02-10,2319375,1495020,979269,612034,5405698
2023-02-11,1534496,815486,463042,363772,3176796
2023-02-12,1239238,585819,321243,328059,2474359
2023-02-13,2124337,1478410,942825,587955,5133527
2023-02-14,2285902,1541137,982939,624399,5434377
2023-02-15,2263581,1514991,972423,619543,5370538
2023-02-16,2270821,1537326,979906,602630,5390683
2023-02-17,2298769,1501130,979083,605514,5384496
2023-02-18,1523780,819998,461614,354104,3159496
2023-02-19,1178459,592385,311423,283058,2365325
2023-02-20,2127223,1470566,943312,593514,5134615
2023-02-21,2213414,1524691,967630,614056,5319791
2023-02-22,2252200,1544641,976410,620475,5393726
2023-02-23,2300710,1527186,990503,617190,5435589
2023-02-24,2177381,1318765,840039,572867,4909052
2023-02-25,1545510,793536,444154,359163,3142363
2023-02-26,1190953,603112,332625,293785,2420475
2023-02-27,1978790,1249990,785171,551122,4565073
2023-02-28,2226948,1502203,956431,610048,5295630
2023-03-01,2262138,1516801,965548,617181,5361668
2023-03-02,2297067,1521912,974659,616529,5410167
2023-03-03,2322129,1535039,990556,611551,5459275
2023-03-04,1586337,853383,477406,373393,3290519
2023-03-05,1098456,554196,295376,269099,2217127
2023-03-06,2125026,1484569,946866,593966,5150427
2023-03-07,2224215,1551815,973611,616885,5366526
2023-03-08,2293231,1507144,958205,635664,5394244
2023-03-09,2239495,1525939,965439,607351,5338224
2023-03-10,2322986,1557024,998808,621968,5500786
2023-03-11,1581988,877891,486407,383417,3329703
2023-03-12,1190784,641897,333062,304106,2469849
2023-03-13,2134969,1509524,953715,601295,5199503
2023-03-14,2238356,1568533,985643,614236,5406768
2023-03-15,2311812,1577224,994950,630922,5514908
2023-03-16,2263120,1567203,991121,621693,5443137
2023-03-17,2277620,1520453,987580,615016,5400669
2023-03-18,1501921,832858,469408,366828,3171015
2023-03-19,1143689,635029,339005,296000,2413723
2023-03-20,1056847,631057,347980,287063,2322947
2023-03-21,2192589,1551433,981022,616554,5341598
2023-03-22,2268540,1586354,996280,632531,5483705
2023-03-23,2290906,1578367,995484,628769,5493526
2023-03-24,2367644,1562904,1002566,624661,5557775
2023-03-25,1594228,878986,485669,385578,3344461
2023-03-26,1199293,617097,323935,301740,2442065
2023-03-27,2144077,1527878,962274,608667,5242896
2023-03-28,2259452,1582556,993094,616622,5451724
2023-03-29,2283366,1595018,999674,635325,5513383
2023-03-30,2320926,1592132,1023754,633555,5570367
2023-03-31,2095266,1325839,848081,574542,4843728
2023-04-01,1406590,807016,453186,351870,3018662
2023-04-02,1195604,620960,338229,295524,2450317
2023-04-03,1702170,1137159,709431,480533,4029293
2023-04-04,1714146,1138197,709374,482882,4044599
2023-04-05,1649991,1080964,670875,468672,3870502
2023-04-06,1099316,595906,333654,293538,2322414
2023-04-07,1089598,568289,317061,285364,2260312
2023-04-08,1170396,656891,370031,298812,2496130
2023-04-09,1022443,557607,304627,262227,2146904
2023-04-10,1754625,1188868,715643,490351,4149487
2023-04-11,2179178,1615097,978893,620917,5394085
2023-04-12,2308419,1652254,997017,633748,5591438
2023-04-13,2305672,1585872,1004523,632236,5528303
2023-04-14,2370108,1567788,1016596,627655,5582147
2023-04-15,1591272,879657,493322,384161,3348412
2023-04-16,1201331,655624,336932,301339,2495226
2023-04-17,2165635,1551010,978480,609902,5305027
2023-04-18,2265823,1598771,1006797,635554,5506945
2023-04-19,2307259,1614615,1015948,642093,5579915
2023-04-20,2317922,1614698,1018374,627897,5578891
2023-04-21,2354803,1576928,1013959,620633,5566323
2023-04-22,1584022,866717,486688,374450,3311877
2023-04-23,1334590,580749,344355,319780,2579474
2023-04-24,2171294,1519377,983948,609036,5283655
2023-04-25,2272945,1613298,1016134,635524,5537901
2023-04-26,2347068,1620991,1020244,643128,5631431
2023-04-27,2307431,1599791,1020241,635967,5563430
2023-04-28,2252878,1516885,996051,621349,5387163
2023-04-29,1431071,811442,466785,357865,3067163
2023-04-30,1222359,653694,371516,315519,2563088
2023-05-01,1095920,594750,350155,280484,2321309
2023-05-02,1075225,647904,356221,284087,2363437
2023-05-03,2231346,1580089,997015,604006,5412456
2023-05-04,2266876,1625148,1012208,618660,5522892
2023-05-05,2333841,1592664,1031549,617743,5575797
2023-05-06,1524095,894021,497344,362932,3278392
2023-05-07,1179225,660942,338699,295284,2474150
2023-05-08,2137725,1532561,964344,604158,5238788
2023-05-09,2278102,1620877,1007028,633126,5539133
2023-05-10,2289611,1621075,1011419,628373,5550478
2023-05-11,2283880,1614140,1007352,626424,5531796
2023-05-12,2305597,1560597,999833,614366,5480393
2023-05-13,1535103,886650,486411,367874,3276038
2023-05-14,1261751,684999,348313,299583,2594646
2023-05-15,1270727,719062,574523,345554,2909866
2023-05-16,2151442,1563331,970401,593069,5278243
2023-05-17,2242036,1590292,987336,617440,5437104
2023-05-18,2226216,1584737,969671,611135,5391759
2023-05-19,2274101,1549129,997681,612547,5433458
2023-05-20,1485359,858474,477722,363291,3184846
2023-05-21,1122868,589675,318363,277095,2308001
2023-05-22,2076995,1492608,943636,588169,5101408
2023-05-23,2162488,1519096,949848,595907,5227339
2023-05-24,2231310,1564933,968612,611387,5376242
2023-05-25,2220387,1546411,970759,607315,5344872
2023-05-26,2226409,1481470,945579,594014,5247472
2023-05-27,1485007,872866,464070,361388,3183331
2023-05-28,1114827,622198,308740,263092,2308857
2023-05-29,2030198,1456058,892062,577148,4955466
2023-05-30,2143713,1528803,932157,595439,5200112
2023-05-31,2224335,1581465,969186,625457,5400443
2023-06-01,2184890,1486742,939456,605954,5217042
2023-06-02,2236991,1529491,968822,612214,5347518
2023-06-03,1566936,931683,497548,402772,3398939
2023-06-04,1228403,674468,345923,305073,2553867
2023-06-05,2060111,1485808,918774,594230,5058923
2023-06-06,2166539,1567532,955254,636276,5325601
2023-06-07,2202309,1485966,924439,613390,5226104
2023-06-08,2221302,1524557,939942,614532,5300333
2023-06-09,2283832,1536119,971229,599601,5390781
2023-06-10,1519958,907603,497957,443339,3368857
2023-06-11,1196402,681479,355907,318682,2552470
2023-06-12,2029220,1499710,912833,580133,5021896
2023-06-13,2119024,1535757,928939,602236,5185956
2023-06-14,2168022,1556761,956399,609667,5290849
2023-06-15,2175841,1575064,950431,609768,5311104
2023-06-16,2154495,1535196,940947,598678,5229316
2023-06-17,1449952,888342,491516,392097,3221907
2023-06-18,1097563,644058,350123,292171,2383915
2023-06-19,1995085,1471013,887680,562766,4916544
2023-06-20,2099487,1535473,924168,600346,5159474
2023-06-21,2132956,1529261,927557,601085,5190859
2023-06-22,2160838,1563040,959798,590440,5274116
2023-06-23,2085420,1414268,873730,562827,4936245
2023-06-24,1350071,976015,471065,365621,3162772
2023-06-25,1057962,731278,352378,296011,2437629
2023-06-26,1930376,1546683,862565,575473,4915097
2023-06-27,1988658,1573227,875623,425492,4863000
2023-06-28,2059652,1586363,878624,594842,5119481
2023-06-29,2064761,1574993,880832,591593,5112179
2023-06-30,2080434,1530492,859141,597097,5067164
2023-07-01,1492621,923760,471714,425798,3313893
2023-07-02,1098411,716941,355830,302783,2473965
2023-07-03,1850898,1455768,816129,542514,4665309
2023-07-04,1907155,1493199,832576,560540,4793470
2023-07-05,1937223,1481387,834907,566484,4820001
2023-07-06,1943537,1473156,824270,566976,4807939
2023-07-07,1878842,1419689,797336,542132,4637999
2023-07-08,1268356,900409,443751,342650,2955166
2023-07-09,984277,694506,339484,279302,2297569
2023-07-10,1762535,1352594,779437,517525,4412091
2023-07-11,1818676,1388228,788583,529871,4525358
2023-07-12,1843183,1407453,803987,540256,4594879
2023-07-13,1838211,1396974,798492,535216,4568893
2023-07-14,1804427,1349742,772367,528877,4455413
2023-07-15,1243241,850130,435707,346693,2875771
2023-07-16,960502,666103,327019,274302,2227926
2023-07-17,1669025,1274877,736376,501059,4181337
2023-07-18,1754997,1300294,744962,507886,4308139
2023-07-19,1745018,1312646,746703,511651,4316018
2023-07-20,1739075,1316219,753087,512957,4321338
2023-07-21,1686320,1285314,734014,501450,4207098
2023-07-22,1152236,831925,417218,325858,2727237
2023-07-23,935984,695163,333463,267421,2232031
2023-07-24,1595899,1248407,716603,490890,4051799
2023-07-25,1651766,1281402,727848,507021,4168037
2023-07-26,1677090,1276895,738174,508790,4200949
2023-07-27,1640880,1247592,721269,497248,4106989
2023-07-28,1583712,1213542,694446,483885,3975585
2023-07-29,1087656,779856,393066,309380,2569958
2023-07-30,867870,617633,303355,253715,2042573
2023-07-31,1436687,1132891,646071,451434,3667083
2023-08-01,1417900,1094611,627376,444338,3584225
2023-08-02,1412359,1080369,626494,440551,3559773
2023-08-03,1402627,1071987,626333,425233,3526180
2023-08-04,1381633,1045503,608695,430374,3466205
2023-08-05,977617,721369,368069,292508,2359563
2023-08-06,793101,575547,285285,241328,1895261
2023-08-07,1265729,1002288,557989,403456,3229462
2023-08-08,1291204,1013214,570957,407120,3282495
2023-08-09,1271405,979668,558846,398766,3208685
2023-08-10,1267427,991371,561521,402318,3222637
2023-08-11,1247796,974273,555803,397135,3175007
2023-08-12,889524,662782,344239,264911,2161456
2023-08-13,754380,540674,276052,226115,1797221
2023-08-14,1137717,909671,494399,339227,2881014
2023-08-15,810744,582713,302492,244900,1940849
2023-08-16,1219177,967520,551213,392626,3130536
2023-08-17,1213174,962059,546440,388658,3110331
2023-08-18,1210669,956390,544046,389282,3100387
2023-08-19,878778,658936,344723,266027,2148464
