Time,Demand,Temperature,Holiday,Hour_of_day,Demand_raw
2014-01-01 01:00:00,low,24.8,1.0,1,3730.06598
2014-01-01 02:00:00,medium,25.9,1.0,2,3858.473927
2014-01-01 03:00:00,medium,25.3,1.0,3,3851.415438
2014-01-01 04:00:00,medium,23.65,1.0,4,3838.972926
2014-01-01 05:00:00,medium,20.7,1.0,5,3860.54097
2014-01-01 06:00:00,medium,19.15,1.0,6,3911.6542449999997
2014-01-01 07:00:00,medium,22.65,1.0,7,4082.062885
2014-01-01 08:00:00,medium,22.65,1.0,8,4118.029412
2014-01-01 09:00:00,medium,22.4,1.0,9,4011.420328
2014-01-01 10:00:00,medium,22.15,1.0,10,3965.380095
2014-01-01 11:00:00,medium,22.05,1.0,11,3931.636296
2014-01-01 12:00:00,low,22.15,1.0,12,3693.490573
2014-01-01 13:00:00,low,21.0,1.0,13,3584.9672069999997
2014-01-01 14:00:00,medium,19.5,0.0,14,4000.662905
2014-01-01 15:00:00,low,18.45,0.0,15,3622.8423249999996
2014-01-01 16:00:00,low,17.25,0.0,16,3249.407085
2014-01-01 17:00:00,low,16.299999999999997,0.0,17,3047.316361
2014-01-01 18:00:00,low,15.7,0.0,18,3003.571521
2014-01-01 19:00:00,low,15.5,0.0,19,3104.2079750000003
2014-01-01 20:00:00,low,15.45,0.0,20,3361.2054420000004
2014-01-01 21:00:00,low,15.65,0.0,21,3749.248229
2014-01-01 22:00:00,medium,16.5,0.0,22,3909.90003
2014-01-01 23:00:00,medium,18.1,0.0,23,4075.099024
2014-01-02 00:00:00,medium,17.799999999999997,0.0,0,4165.325657
2014-01-02 01:00:00,medium,19.1,0.0,1,4202.3120149999995
2014-01-02 02:00:00,medium,19.85,0.0,2,4225.009946
2014-01-02 03:00:00,medium,20.299999999999997,0.0,3,4265.0678960000005
2014-01-02 04:00:00,medium,21.05,0.0,4,4300.75115
2014-01-02 05:00:00,medium,22.8,0.0,5,4380.602360999999
2014-01-02 06:00:00,medium,21.65,0.0,6,4484.418723
2014-01-02 07:00:00,medium,20.15,0.0,7,4551.756622000001
2014-01-02 08:00:00,medium,19.3,0.0,8,4439.901399
2014-01-02 09:00:00,medium,18.75,0.0,9,4232.671725
2014-01-02 10:00:00,medium,17.9,0.0,10,4145.408379
2014-01-02 11:00:00,medium,17.35,0.0,11,4115.642866
2014-01-02 12:00:00,medium,16.85,0.0,12,3830.627118
2014-01-02 13:00:00,low,16.35,0.0,13,3712.341047
2014-01-02 14:00:00,medium,15.7,0.0,14,4120.83255
2014-01-02 15:00:00,low,14.95,0.0,15,3763.500707
2014-01-02 16:00:00,low,14.5,0.0,16,3393.678504
2014-01-02 17:00:00,low,14.350000000000001,0.0,17,3159.292045
2014-01-02 18:00:00,low,14.45,0.0,18,3081.2590179999997
2014-01-02 19:00:00,low,14.6,0.0,19,3215.569609
2014-01-02 20:00:00,low,14.6,0.0,20,3467.7250400000003
2014-01-02 21:00:00,medium,14.7,0.0,21,3837.604542
2014-01-02 22:00:00,medium,15.45,0.0,22,4012.044046
2014-01-02 23:00:00,medium,16.7,0.0,23,4182.516356
2014-01-03 00:00:00,medium,18.299999999999997,0.0,0,4268.874539
2014-01-03 01:00:00,medium,20.1,0.0,1,4279.520839000001
2014-01-03 02:00:00,medium,20.65,0.0,2,4309.615673
2014-01-03 03:00:00,medium,19.450000000000003,0.0,3,4315.093516
2014-01-03 04:00:00,medium,20.2,0.0,4,4233.210994
2014-01-03 05:00:00,medium,20.25,0.0,5,4188.013321
2014-01-03 06:00:00,medium,20.05,0.0,6,4263.214123
2014-01-03 07:00:00,medium,20.25,0.0,7,4370.1824830000005
2014-01-03 08:00:00,medium,20.95,0.0,8,4308.088503000001
2014-01-03 09:00:00,medium,21.9,0.0,9,4181.839011
2014-01-03 10:00:00,medium,21.0,0.0,10,4075.2287180000003
2014-01-03 11:00:00,medium,19.9,0.0,11,4057.102281
2014-01-03 12:00:00,low,19.25,0.0,12,3791.4922699999997
2014-01-03 13:00:00,low,17.3,0.0,13,3667.281573
2014-01-03 14:00:00,medium,16.3,0.0,14,4036.497599
2014-01-03 15:00:00,low,15.8,0.0,15,3636.432182
2014-01-03 16:00:00,low,15.0,0.0,16,3282.7208549999996
2014-01-03 17:00:00,low,14.399999999999999,0.0,17,3073.387954
2014-01-03 18:00:00,low,14.05,0.0,18,3002.6883740000003
2014-01-03 19:00:00,low,13.649999999999999,0.0,19,3022.755943
2014-01-03 20:00:00,low,13.5,0.0,20,3112.931934
2014-01-03 21:00:00,low,14.15,0.0,21,3334.6319249999997
2014-01-03 22:00:00,low,15.3,0.0,22,3483.633786
2014-01-03 23:00:00,low,14.8,0.0,23,3697.46019
2014-01-04 00:00:00,low,17.05,0.0,0,3723.036584
2014-01-04 01:00:00,low,18.35,0.0,1,3786.475308
2014-01-04 02:00:00,low,19.45,0.0,2,3762.803746
2014-01-04 03:00:00,low,18.549999999999997,0.0,3,3747.798496
2014-01-04 04:00:00,low,18.65,0.0,4,3714.4336439999997
2014-01-04 05:00:00,low,18.85,0.0,5,3736.874866
2014-01-04 06:00:00,medium,19.8,0.0,6,3827.8586020000002
2014-01-04 07:00:00,medium,19.65,0.0,7,3937.098291
